Rank,País,IDH,IDH Ajustado à Desigualdade (IDHAD),Índice de Desenvolvimento Humano por Género,Índice de Desigualdade de Género,Índice de Pobreza Multidimensional,IDH ajustado à pressão sobre o planeta,Perda Global (%),Diferença do IDH (%)
134,Índia,0.644,0.444,0.852,0.437,16.4,42.0,0.625,3.0
135,Micronésia (Estados Federados da),0.634,.,0.950,0..,.,.,.,.
136,Guatemala,0.629,0.453,0.931,0.474,28.9,46.2,0.604,4.0
137,Quiribati,0.628,0.528,0.849,0.585,19.8,40.5,.,.
138,Honduras,0.624,0.480,0.974,0.413,12.0,42.7,0.606,2.9
139,República Democrática Popular do Laos,0.620,0.466,0.919,0.467,23.1,47.0,0.580,6.5
140,Vanuatu,0.614,.,0.936,0..,.,.,.,.
141,São Tomé e Príncipe,0.613,0.459,.,0.048,11.7,40.9,.,.
142,Essuatíni (Reino de),0.610,0.372,0.987,0.491,19.2,42.3,.,.
142,Namíbia,0.610,0.399,1.006,0.450,40.9,45.2,0.584,4.3
144,Mianmar,0.608,0.475,0.941,0.479,38.3,45.9,0.596,2.0
145,Gana,0.602,0.378,0.933,0.512,24.6,45.1,0.586,2.7
146,Quénia,0.601,0.438,0.948,0.533,37.5,45.6,0.590,1.8
146,Nepal,0.601,0.424,0.885,0.495,17.5,42.5,0.581,3.3
148,Camboja,0.600,0.438,0.926,0.486,16.6,42.3,0.572,4.7
149,Congo,0.593,0.385,0.909,0.572,24.3,46.0,0.580,2.2
150,Angola,0.591,0.344,0.905,0.520,51.1,55.3,0.581,1.7
151,Camarões,0.587,0.362,0.900,0.555,43.6,53.2,0.577,1.7
152,Comores,0.586,0.334,0.914,0.631,64.4,52.9,0.561,1.4
153,Zâmbia,0.569,0.344,0.930,0.526,47.9,48.4,0.561,1.4
154,Papua-Nova Guiné,0.568,0.407,0.927,0.604,56.6,46.5,0.558,1.8
155,Timor-Leste,0.566,0.407,0.904,0.415,48.3,45.9,.,.
156,Ilhas Salomão,0.562,.,0.959,0..,.,.,.,.
157,República Árabe da Síria,0.557,.,0.805,0.487,.,.,.,.
158,Haiti,0.552,0.335,0.929,0.621,41.3,48.4,0.546,1.1
159,Uganda,0.550,0.377,0.899,0.527,57.2,49.2,0.543,1.3
159,Zimbabué,0.550,0.370,0.936,0.519,25.8,42.6,0.541,1.6
161,Nigéria,0.548,0.369,0.886,0.677,33.0,52.9,0.539,1.6
161,Ruanda,0.548,0.377,0.921,0.400,48.8,47.3,0.541,1.3
163,Togo,0.547,0.345,0.848,0.578,37.6,47.8,0.541,1.1
164,Mauritânia,0.540,0.351,0.874,0.603,58.4,56.0,0.520,3.7
164,Paquistão,0.540,0.360,0.834,0.522,38.3,51.7,0.528,2.2
166,Costa do Marfim,0.534,0.318,0.861,0.612,46.1,51.2,.,.
167,Tanzânia (República Unida da),0.532,0.372,0.940,0.513,57.1,49.8,0.525,1.3
168,Lesoto,0.521,0.332,0.999,0.552,19.6,43.0,.,.
169,Senegal,0.517,0.334,0.925,0.505,50.8,51.7,0.503,2.7
170,Sudão,0.516,0.331,0.868,0.548,52.3,53.4,0.506,1.9
171,Jibuti,0.515,0.341,0.844,0..,.,.,.,.
172,Maláui,0.508,0.359,0.926,0.579,49.9,46.3,0.501,1.4
173,Benin,0.504,0.309,0.848,0.649,66.8,55.0,0.494,2.0
174,Gâmbia,0.495,0.311,0.940,0.585,41.7,47.5,0.489,1.2
175,Eritreia,0.493,.,.,0..,.,.,.,.
176,Etiópia,0.492,0.324,0.922,0.494,68.7,53.3,0.485,1.4
177,Libéria,0.487,0.310,0.860,0.656,52.3,49.6,0.482,1.0
177,Madagáscar,0.487,0.328,0.945,0.574,68.4,56.4,0.483,0.8
179,Guiné-Bissau,0.483,0.310,0.862,0.631,64.4,52.9,.,.
180,Congo (República Democrática do),0.481,0.315,0.891,0.605,64.5,51.3,0.477,0.8
181,Guiné,0.471,0.285,0.818,0.609,66.2,56.4,0.462,1.9
182,Afeganistão,0.462,0.300,0.622,0.665,55.9,48.6,0.459,0.6
183,Moçambique,0.461,0.270,0.929,0.477,61.9,60.0,0.456,1.1
184,Serra Leoa,0.458,0.277,0.885,0.613,59.2,49.5,0.452,1.3
185,Burquina Fasso,0.438,0.261,0.881,0.577,66.8,55.0,0.433,1.1
186,Iémen,0.424,0.285,0.456,0.820,48.5,50.6,0.420,0.9
187,Burundi,0.420,0.273,0.926,0.499,75.1,54.4,0.417,0.7
188,Mali,0.410,0.277,0.830,0.607,68.3,55.0,0.404,1.5
189,Chade,0.394,0.238,0.776,0.671,84.2,61.4,0.382,3.0
189,Níger,0.394,0.262,0.826,0.609,91.0,66.1,0.389,1.3
191,República Centro-Africana,0.387,0.237,.,.,80.4,57.4,0.383,1.0
192,Sudão do Sul,0.381,0.222,.,.,.,.,0.376,1.3
193,Somália,0.380,.,0.769,0.674,41.3,48.4,0.376,1.1
